date,title,description,category,location_name,latitude,longitude,source
2025-06-25T13:07:45Z,Israeli attacks kill at least 51 as Trump signals progress in Gaza talks,Medical sources say at least 14 Palestinians killed by Israeli forces near aid distribution centres in Gaza.,assault,Gaza,-23.328398,32.8066057,Al Jazeera English
2025-06-24T17:42:34Z,Clippers star James Harden sued for alleged negligence in sexual assault case involving his nephew,A woman claims Harden's security team failed to act during a New Year's Eve party,assault,Harden,53.8427413,-1.874616,CBS Sports
2025-06-24T15:37:51Z,Clippers' James Harden sued for alleged negligence in sexual assault case against his nephew,The alleged assault occurred at Harden's Houston home during a New Year's party.,assault,Harden,53.8427413,-1.874616,Yahoo Entertainment
2025-06-24T09:05:29Z,"Tripoli Arrives in Sasebo, Japan","The America-class amphibious assault ship USS Tripoli (LHA 7) arrived in Sasebo, Japan, June 23, as part of a scheduled rotation of forces in the Indo-Pacific.",assault,America,39.7837304,-100.445882,Globalsecurity.org
2025-06-25T11:40:02Z,US Marine Gets 7 Years in Japan for Sexual Assault,"A Japanese court has found a US Marine guilty of sexually assaulting a woman on Okinawa and sentenced him to seven years in prison, per the AP . The Naha District Court said Lance Cpl. Jamel Clayton, 22, of Ohio, was sentenced on Tuesday after being found gui…",assault,Japan,36.5748441,139.2394179,Newser
2025-06-24T17:38:02Z,US Marine Gets 7 Years for Sexual Assault in Japan,A court in Japan has sentenced a US marine to seven years in prison after finding him guilty of sexually assaulting a woman in Okinawa last year. (News On Japan),assault,Japan,36.5748441,139.2394179,Newsonjapan.com
2025-06-24T09:03:29Z,Canada concerned over China water cannon assault vs. PH in SCS,Canada has expressed concern over another unprovoked incident involving Chinese vessels firing water cannons against civilian boats from the Bureau of Fisheries and Aquatic Resources (BFAR) in the South China Sea.,assault,the South China Sea,20.6979747,116.7315856,Globalsecurity.org
2025-06-25T06:46:43Z,Drone debris found in Ukraine indicates Russia is using new technology from Iran,"Last week, Ukrainian drone hunters searching through the debris of Russia's nightly assault on their cities found a drone that was different to the rest",assault,Ukraine,49.4871968,31.2718321,ABC News
2025-06-24T08:00:00Z,Sex assault charges withdrawn against Ottawa police superintendent,"Three years after an Ottawa police superintendent was suspended amid an investigation into his alleged grooming and sexual assault of a female recruit, the criminal charges against him were withdrawn in court Monday at the request of prosecutors.",assault,Ottawa,45.4208777,-75.6901106,CBC News
2025-06-25T08:40:00Z,From Tennessee to DC: The Legal Assault on Trans Care,Becca Balint Knows the Hill Can’t Be Neutral,assault,DC,4.2834715,-74.1753606,Slate Magazine
2025-06-25T11:58:01Z,"Japanese court convicts a US Marine in sexual assault, sentencing him to 7 years in prison","TOKYO (AP) — A Japanese court has found a U.S. Marine guilty of sexually assaulting a woman on Okinawa and sentenced him to seven years in prison, in a case that has triggered anger and safety concerns on Japan’s southern island, which has a heavy American tr…",assault,US,39.7837304,-100.445882,New York Post
